Game Turn, Player, Strategy, Status
1, 0, STRATEGY_RAPID_EXPANSION, Following
1, 0, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 0, STRATEGY_RAPID_EXPANSION, Following
